satelite_id,Datetime,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,t_tm
C01,2025-03-23 00:00:00,-34.3125,-6.060609591573e-09,-0.064460215541,-9.587965905666e-07,0.0005587418563664001,-7.883179932833e-06,6493.399230957,0.0,1.955777406693e-07,-2.884649933888,4.051253199577e-08,0.09722771822187,240.71875,-0.8101407441052001,7.182799192417001e-09,2.125088518467e-10,0.0
C01,2025-03-23 01:00:00,-101.09375,-4.680194948905e-09,0.19969477514040002,-3.213528543711e-06,0.0005557925906032,-6.568618118763e-06,6493.391790389999,3600.0,2.188608050346e-07,-2.661972867866,1.0244548320769999e-08,0.1026188668534,198.4375,-1.0345672846,5.8463149510560005e-09,3.350139546759e-10,3600.0
C01,2025-03-23 02:00:00,-135.359375,-3.2687075833630003e-09,0.4657067062565,-4.441943019629e-06,0.0005527080502361,-4.377216100693001e-06,6493.383014679,7200.0,2.025626599789e-07,-2.447716896662,-2.0489096641539998e-08,0.1070205050107,130.40625,-1.252494776418,4.486972614705001e-09,4.3144654290890004e-10,7200.0
C01,2025-03-23 03:00:00,-152.6875,-2.0329418230440003e-09,0.7310825298704,-5.128793418407e-06,0.0005511497147381,-2.009328454733e-06,6493.377693176,10800.0,1.471489667892e-07,-2.239261929608,-8.149072527885e-08,0.1102641981579,58.359375,-1.46403741348,3.2840653659330003e-09,5.118070331030001e-10,10800.0
C01,2025-03-23 04:00:00,-168.359375,-9.543254657719e-10,0.9924129227131001,-5.709938704966999e-06,0.0005513329524547,3.58559191227e-08,6493.379325867,14400.0,9.080395102501002e-08,-2.034426809974,-1.373700797558e-07,0.1122347312556,-2.140625,-1.667951364321,2.1933056456980003e-09,5.696665860428001e-10,14400.0
C01,2025-03-23 05:00:00,-183.5,-6.214544575011999e-11,1.248784422644,-6.2063336372379994e-06,0.0005519022233784,1.592095941305e-06,6493.387634277,18000.0,4.842877388e-08,-1.831307410904,-1.918524503708e-07,0.11286532940830002,-46.53125,-1.865209722546,1.2461233346100002e-09,6.082396213359e-10,18000.0
C01,2025-03-23 06:00:00,-189.203125,7.63246077977e-10,1.502510840876,-6.339512765408e-06,0.0005515380762517,2.802349627018e-06,6493.399383545,21600.0,1.210719347e-08,-1.628128513493,-2.1839514374729999e-07,0.1121348768563,-80.3125,-2.059882754888,3.4394289803080003e-10,6.24668877109e-10,21600.0
C01,2025-03-23 07:00:00,-174.78125,1.600780964667e-09,1.75713181157,-5.7793222367759996e-06,0.0005500852130353,3.9259903132919995e-06,6493.410463333001,25200.0,-2.933666110039e-08,-1.42311058908,-2.165324985981e-07,0.1100673186428,-112.56250000000001,-2.257270530161,-5.657378509666e-10,6.21097299767e-10,25200.0
C01,2025-03-23 08:00:00,-131.84375,2.499746981638e-09,2.015460138519,-4.27383929491e-06,0.0005486027803272,5.169305950403e-06,6493.41708374,28800.0,-7.869675755501e-08,-1.214333900007,-1.965090632439e-07,0.1067325412902,-150.3125,-2.462087272617,-1.507919953776e-09,5.99310677981e-10,28800.0
C01,2025-03-23 09:00:00,-57.484375,3.459072655689e-09,2.277946912512,-1.7513521015639997e-06,0.0005485989386216,6.473623216152e-06,6493.417140961,32400.000000000004,-1.215375959873e-07,-0.9995907039365,-1.699663698673e-07,0.1022491508818,-191.859375,-2.67697549946,-2.4693885742320003e-09,5.600233272195e-10,32400.000000000004
C01,2025-03-23 10:00:00,43.90625,4.459828626906e-09,2.542619843488,1.619569957256e-06,0.0005508855683729,7.385853677988e-06,6493.410961150999,36000.0,-1.3783574104309998e-07,-0.7762177497278001,-1.359730958939e-07,0.09678964594011999,-223.07812500000003,-2.902613167889,-3.4322858256240005e-09,5.018066165455e-10,36000.0
C01,2025-03-23 11:00:00,159.890625,5.538802141913001e-09,2.806826751669,5.40167093277e-06,0.0005550925852731,7.185153663158e-06,6493.4006042480005,39600.0,-1.2619420886039999e-07,-0.540916799333,-8.428469300270001e-08,0.09058897696021999,-221.84374999999997,-3.139637868805,-4.443756528868e-09,4.210889686172e-10,39600.0
C01,2025-03-23 12:00:00,270.4375,6.769567693953001e-09,3.068921459229,8.886680006981001e-06,0.0005604858743027,5.300156772137e-06,6493.387634277,43200.0,-9.592622518539001e-08,-0.28961580418640004,-1.396983861923e-08,0.08395753858562,-171.71875,2.892712795179,-5.575946546269e-09,3.135844906242e-10,43200.0
C01,2025-03-23 13:00:00,322.1875,8.416422006331002e-09,-2.951463229753,1.0471791028980001e-05,0.0005604065954685,5.494803190231e-08,6493.387945175,46800.0,-1.2479722499849998e-07,-0.01752752140591,1.019798219204e-07,0.077297939038,-4.90625,2.620461648655,-7.252444950586e-09,1.703642392115e-10,46800.0
