satelite_id,Datetime,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,t_tm
G01,2025-03-23 00:00:00,38.4375,4.644479175486001e-09,-1.577626624013,1.901760697365e-06,0.00041836290620270004,3.9432197809219996e-06,5153.733900069999,0.0,1.862645149231e-09,2.998359576226,-3.911554813385e-08,0.9599263778381,303.75,-0.04048331152671,-8.290702483894e-09,9.357532635936999e-11,-7182.0
G01,2025-03-23 02:00:00,34.03125,4.616263714484001e-09,-0.527454717029,1.7657876014709998e-06,0.00041878072079270005,3.760680556297e-06,5153.734300613,7200.0,-9.313225746155e-09,2.998299839429,-3.166496753693e-08,0.9599271195376,307.1875,-0.04050990445155,-8.285702275615e-09,1.050043738536e-10,18.0
G01,2025-03-23 04:00:00,31.21875,4.57840499466e-09,0.5232014728929001,1.659616827965e-06,0.0004181468393654,4.066154360771e-06,5153.733114243,14400.0,5.960464477539e-08,2.998240420085,-3.911554813385e-08,0.9599282181891001,302.28125,-0.04102159808565,-8.213913571042e-09,1.078616357272e-10,7218.0
G01,2025-03-23 06:00:00,42.46875,4.456971365033e-09,1.568717615294,2.074986696243e-06,0.00041890889406199995,4.4777989387510005e-06,5153.737001418999,21600.0,5.4016709327700004e-08,2.998181460098,9.313225746155e-09,0.9599289906098001,291.78125,-0.03639398443553,-8.194627053395e-09,1.035757429169e-10,14418.0
G01,2025-03-23 08:00:00,50.15625,4.411255175056e-09,2.619544080103,2.624467015266e-06,0.00041963031981140007,4.533678293228e-06,5153.735853195,28800.0,-3.725290298462e-09,2.998122302617,2.421438694e-08,0.9599299795424001,288.28125,-0.03707898851156,-8.168911696533e-09,1.467918287546e-10,21618.0
G01,2025-03-23 10:00:00,55.21875,4.366253300547e-09,-2.612714796687,2.918764948845e-06,0.00041988177690650006,4.826113581657e-06,5153.735376358,36000.0,-7.450580596924e-09,2.998063465514,3.911554813385e-08,0.9599309948076,286.90625,-0.03786289609017,-8.17462622028e-09,1.428630936784e-10,28818.0
G01,2025-03-23 12:00:00,56.6875,4.350538360242e-09,-1.563210154435,2.97836959362e-06,0.0004196549998596,4.6119093894959995e-06,5153.735141753999,43200.0,-1.0617077350619998e-07,2.998005068751,-9.313225746155e-09,0.9599319413156,291.65625,-0.03722606444358,-8.140696235531e-09,7.214586230761e-11,36018.0
G01,2025-03-23 14:00:00,53.84375,4.4191126452080005e-09,-0.51345677661,2.725049853325e-06,0.0004199488321319001,4.453584551811e-06,5153.735155106,50400.0,4.4703483581540004e-08,2.997946865092,-4.656612873077e-08,0.9599318155045999,295.8125,-0.03683702186125,-8.208199047294e-09,-4.143029716674999e-11,43218.0
G01,2025-03-23 16:00:00,50.03125,4.521259757188001e-09,0.5373536399874,2.544373273849e-06,0.000419273856096,4.379078745842e-06,5153.733879089,57600.0,4.4703483581540004e-08,2.997887763201,-2.2351741790770002e-08,0.9599314965885001,290.6875,-0.03750443873613,-8.208913362763002e-09,-4.643050544549e-11,50418.0
G01,2025-03-23 18:00:00,56.9375,4.532331646948001e-09,1.583910541809,3.1162053346629998e-06,0.0004196789814159,4.962086677551e-06,5153.73673439,64800.00000000001,7.450580596924e-08,2.997828601331,2.9802322387700004e-08,0.9599311879128001,280.65625,-0.03391748502796,-8.208913362763002e-09,-2.250093725435e-11,57618.0
G01,2025-03-23 20:00:00,62.9375,4.541974905772001e-09,2.634005252069,3.2894313335419997e-06,0.0004202834097669,5.330890417099e-06,5153.736181259,72000.0,-6.332993507385e-08,2.9977691381,3.911554813385e-08,0.9599315872894,275.09375,-0.033869859729890005,-8.143196339671e-09,7.643175511795999e-11,64818.0
G01,2025-03-23 22:00:00,68.8125,4.563047212089e-09,-2.598173901538,3.5520642995829997e-06,0.0004211168270558,5.690380930901e-06,5153.734619141,79200.0,-8.568167686462001e-08,2.997710425346,-7.450580596924e-09,0.9599320642007,269.375,-0.03473206707286,-8.166054434659e-09,8.678932940964999e-11,72018.0
G01,2025-03-23 22:44:32,74.0,4.5576898460760005e-09,-2.207395569834,3.756955265999e-06,0.0004206210142002,5.654990673065e-06,5153.735843658,81872.0,-4.0978193283079996e-08,2.997688329431,-7.636845111847e-08,0.9599322075667001,270.28125,-0.03579040930564,-8.212127782371001e-09,1.1893352548730002e-10,74718.0
G02,2025-03-23 00:00:00,47.4375,4.585905307078e-09,-0.15725754048780002,2.345070242882e-06,0.01616100210231,4.570931196213e-06,5152.867733002,0.0,-1.4901161193850001e-07,2.8341499857,-2.644956111908e-07,0.9662598885571001,298.125,-1.01244192139,-8.454995041624002e-09,1.164334213479e-10,-7182.0
G02,2025-03-23 01:59:44,41.40625,4.545903640848e-09,0.8910554306410001,1.875683665276e-06,0.01616185763851,4.302710294724e-06,5152.869552612,7184.0,8.009374141693e-08,2.834089197065,-4.0605664253229993e-07,0.9662609813569001,301.21875,-1.012415805376,-8.34999066777e-09,1.028614274485e-10,18.0
G02,2025-03-23 04:00:00,48.1875,4.3241086879120005e-09,1.944008899339,2.4158507585529998e-06,0.0161617344711,4.030764102935999e-06,5152.871154785,14400.0,2.719461917877e-07,2.834032067188,7.636845111847e-08,0.9662631376982,301.96875,-1.012363377318,-7.874613723555e-09,-5.7502395205569997e-11,7218.0
G02,2025-03-23 06:00:00,55.53125,4.19624621907e-09,2.99455442536,2.80886888504e-06,0.01615954621229,4.9527734518049995e-06,5152.8766002659995,21600.0,1.7136335372919998e-07,2.833974770539,2.775341272354e-07,0.9662630206647,281.59375,-1.012240631177,-7.849255524427001e-09,7.714607058635e-11,14418.0
G02,2025-03-23 08:00:00,66.5625,4.130172038244e-09,-2.238010188142,3.835186362267e-06,0.01616106566507,5.451962351798999e-06,5152.8734760279995,28800.0,-5.587935447693e-09,2.83391825655,3.427267074585e-07,0.9662637535867001,276.125,-1.012194755529,-7.868184884340001e-09,1.1857636775310002e-10,21618.0
