satelite_id,Datetime,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,t_tm
J02,2025-03-23 00:00:00,304.65625,2.2422362552830003e-09,2.809155745047,8.838251233101e-06,0.07443760044407,1.3045966625210001e-05,6493.722671509,0.0,8.54954123497e-07,1.204959676024,2.607703208923e-08,0.7000959646413001,-306.46875,-1.562098708276,-2.382599244822e-09,-5.807384758028e-10,-3594.0
J02,2025-03-23 01:00:00,291.625,2.2908097071340004e-09,3.071648704258,8.471310138702e-06,0.07444168452639001,1.178309321404e-05,6493.713762283,3600.0,6.314367055893e-07,1.204952633537,-1.173466444016e-07,0.7000937175992,-258.375,-1.562107956844,-2.334025792971e-09,-6.625275969337e-10,6.0
J02,2025-03-23 02:00:00,302.0,2.459745315408e-09,-2.94905464778,8.720904588698999e-06,0.07444873824716,9.713694453239e-06,6493.69865036,7200.0,5.364418029785e-07,1.204942561346,1.769512891769e-07,0.7000915334625,-171.6875,-1.562101647278,-2.315810748527e-09,-5.553802766749001e-10,3606.0
J02,2025-03-23 03:00:00,336.5625,2.594036623466e-09,-2.686585191811,9.527429938316e-06,0.07445421919692001,8.339062333107e-06,6493.686475754,10800.0,4.1723251342769996e-07,1.204933767745,1.7508864402769998e-07,0.7000895775410001,-111.03125,-1.562081305402,-2.286880972058e-09,-5.303792352812e-10,7206.0
J02,2025-03-23 04:00:00,348.6875,2.770472544159e-09,-2.424100855039,9.786337614059e-06,0.07445525634103001,8.029863238335e-06,6493.684221268,14400.0,9.071081876755e-07,1.204928147214,2.924352884293e-07,0.7000866868149,-98.65625,-1.56207720338,-2.455816580332e-09,-6.746709598964e-10,10806.0
J02,2025-03-23 05:00:00,306.09375,2.8836915458990003e-09,-2.161575206924,8.789822459221e-06,0.07445236481726,8.000060915947e-06,6493.693109512,18000.0,9.797513484955e-07,1.204921805464,9.536743164062e-07,0.7000829856321,-102.06249999999999,-1.562114913019,-2.7208276191060003e-09,-7.546742923563001e-10,14406.000000000002
J02,2025-03-23 06:00:00,232.1875,2.780472960717e-09,-1.899011446866,7.0817768573759995e-06,0.07444849878084,7.3537230491640005e-06,6493.7085876460005,21600.0,3.930181264877e-07,1.20491254373,1.147389411926e-06,0.7000800802768001,-78.625,-1.562190801895,-2.820831784681e-09,-6.975290548850001e-10,18006.0
J02,2025-03-23 07:00:00,177.53125,2.451887845256e-09,-1.636444325023,5.759298801422e-06,0.07444624509662,6.183981895447e-06,6493.723600388,25200.0,2.4028122425079997e-07,1.204901823466,6.668269634247e-07,0.7000792683573,-29.71875,-1.562271236056,-2.625109346341e-09,-6.082396213359e-10,21606.0
J02,2025-03-23 08:00:00,161.4375,2.087229798642e-09,-1.37391334896,5.275011062622e-06,0.07444591494277,5.368143320084e-06,6493.732181549,28800.0,7.580965757369999e-07,1.204892640729,7.487833499907999e-07,0.7000795653297001,5.90625,-1.562318150376,-2.280452132842e-09,-6.364550823374e-10,25206.0
J02,2025-03-23 09:00:00,155.1875,1.832933491894e-09,-1.111438500675,4.9527734518049995e-06,0.07444585917983,5.556270480156e-06,6493.730897903,32400.000000000004,7.376074790955e-07,1.204885917158,1.821666955948e-06,0.7000794453704,0.75,-1.562310935264,-1.9404379698870003e-09,-8.364634134872e-10,28806.0
J02,2025-03-23 10:00:00,125.75,2.001869100169e-09,-0.8490059087782001,4.056841135025e-06,0.07444399129599,6.3739717006679995e-06,6493.719984055,36000.0,-7.413327693939e-07,1.204878096398,2.201646566391e-06,0.7000758173335,-27.3125,-1.56225984285,-2.063300230451e-09,-1.0629014169680001e-09,32406.0
J02,2025-03-23 11:00:00,72.1875,2.6240378731390005e-09,-0.586582525951,2.486631274223e-06,0.07443954143673001,6.850808858870999e-06,6493.702259064,39600.0,-1.3876706361769999e-06,1.20486306784,7.115304470062e-07,0.700069433159,-40.53125,-1.562192307237,-2.7633293894750002e-09,-9.275386357072e-10,36006.0
J02,2025-03-23 12:00:00,28.875,3.0658419903390003e-09,-0.3241308181039,1.169741153717e-06,0.07443465047982001,6.325542926788e-06,6493.686414719,43200.0,-5.979090929030999e-07,1.204845741038,2.0489096641539998e-08,0.7000653121188001,-22.09375,-1.562148855644,-3.2440636997030004e-09,-5.8645299955e-10,39606.0
J02,2025-03-23 13:00:00,17.59375,3.1465596382670004e-09,-0.06164688656027,8.400529623032e-07,0.07443223742303,5.76488673687e-06,6493.679508209,46800.0,-4.693865776062e-07,1.204833459841,-2.607703208923e-08,0.7000633123098,-2.96875,-1.562139849921,-3.2865654700720003e-09,-5.603804849537e-10,43206.0
J02,2025-03-23 14:00:00,14.625,3.1376306949130004e-09,0.20084396751170003,7.264316082000999e-07,0.0744332135655,6.137415766715999e-06,6493.682207108,50400.0,-5.010515451431e-07,1.204822221704,-1.396983861923e-07,0.7000611179327,-11.65625,-1.562138294839,-3.2776365267170003e-09,-6.107397254753e-10,46806.0
J02,2025-03-23 15:00:00,-7.8125,2.9169072151790003e-09,0.4633178809923,-5.960464477539e-08,0.07443638762924999,6.7800283432009995e-06,6493.691841125,54000.0,-1.0747462511059998e-06,1.204807095131,-4.246830940247e-07,0.7000596989021001,-29.75,-1.562117613566,-3.021554431299e-09,-4.043025551100001e-10,50406.00000000001
J02,2025-03-23 16:00:00,-33.875,2.5429630674760005e-09,0.7257801584225,-9.853392839432e-07,0.07443895423785,6.750226020812999e-06,6493.701028824,57600.0,-9.406358003616001e-07,1.204792378176,-1.6056001186369998e-06,0.7000598144727,-29.875,-1.56208700932,-2.5465346448180002e-09,-2.95012288446e-10,54006.0
J02,2025-03-23 17:00:00,-36.34375,2.401528604734e-09,0.9882628406341001,-1.2032687664029998e-06,0.07443928648718,6.56396150589e-06,6493.702470779,61200.0,3.46451997757e-07,1.204782194803,-1.8514692783359999e-06,0.7000591283641,-27.5,-1.562080967468,-2.3250968496170005e-09,-4.460900100109e-10,57606.0
J02,2025-03-23 18:00:00,-23.375,2.328311269224e-09,1.250782010948,-8.773058652877999e-07,0.07443862291984,6.951391696929999e-06,6493.696317673,64800.00000000001,1.424923539162e-06,1.204773363166,-1.1529773473739999e-06,0.7000584978464001,-49.5,-1.562112270989,-2.110802209099e-09,-6.003821511836e-10,61205.99999999999
J02,2025-03-23 19:00:00,-21.8125,2.1483037711890003e-09,1.513322478424,-6.575137376785e-07,0.07443858601619,7.821246981621e-06,6493.686750412,68400.0,2.024695277214e-06,1.204766314827,2.0861625671389998e-07,0.7000589981644,-90.84375,-1.562165249104,-1.709714073597e-09,-7.807468069526e-10,64806.0
J02,2025-03-23 20:00:00,-30.65625,1.9161512439620003e-09,1.77584260695,-6.221234798431e-07,0.0744391590124,8.322298526763999e-06,6493.680873871,72000.0,1.4193356037139998e-06,1.204762228897,1.966953277588e-06,0.7000590786249,-114.99999999999999,-1.56219859047,-1.294696786461e-09,-1.07075888712e-09,68406.0
J02,2025-03-23 21:00:00,-17.90625,1.930794711064e-09,2.038317878018,-1.732259988785e-07,0.07443847705144001,8.095055818558e-06,6493.683603287,75600.0,-4.7497451305389997e-07,1.204757541707,2.384185791016e-06,0.7000554856981,-110.84375,-1.562185308637,-1.3186263546520002e-09,-1.350056235261e-09,72006.0
J02,2025-03-23 22:00:00,29.6875,2.3358115816420003e-09,2.300760653288,1.002103090286e-06,0.07443516375497,7.720664143562e-06,6493.6947612760005,79200.0,-1.1734664440160001e-06,1.204745594055,7.282942533493e-07,0.7000480570001,-105.9375,-1.562134178187,-1.951152701913e-09,-1.2839820544350002e-09,75606.0
J02,2025-03-23 23:00:00,81.0625,2.7015411014590003e-09,2.563209053477,2.231448888779e-06,0.07443072588649,7.964670658112e-06,6493.707128525,82800.0,8.195638656615999e-08,1.20472863152,-2.477318048477e-07,0.7000414884979,-124.93749999999999,-1.56208690399,-2.5651068469960004e-09,-9.011089633767001e-10,79206.0
J03,2025-03-23 00:00:00,210.53125,1.331126875349e-09,1.074016203326,6.44288957119e-06,0.07435555721167,-6.2268227338789996e-06,6493.341770172,0.0,9.760260581969999e-07,2.942488715952,-2.410262823105e-06,0.7048941399103,321.65625,-1.571769796372,-1.3546992858060001e-09,3.7322983223490003e-10,-3594.0
J03,2025-03-23 01:00:00,198.96875,1.990082894941e-09,1.336532507784,5.774199962615999e-06,0.07435545756016,-6.46710395813e-06,6493.343603134,3600.0,5.457550287247e-07,2.942484902124,-7.580965757369999e-07,0.7048883584581,330.34375,-1.571758499719,-2.2465221480930005e-09,3.714440435639e-11,6.0
J03,2025-03-23 02:00:00,197.125,2.3190251681350003e-09,1.599045128614,5.526468157768e-06,0.07435523974709,-6.807968020439e-06,6493.346727370999,7200.0,-1.0617077350619998e-07,2.942475649167,-9.164214134215999e-07,0.7048848913422,344.53125,-1.571740243964,-2.7297565624610003e-09,3.8215877558979994e-11,3606.0
J03,2025-03-23 03:00:00,213.75000000000003,1.935794919343e-09,1.86155498014,6.031244993209999e-06,0.07435485476162,-6.956979632378e-06,6493.350135803001,10800.0,3.967434167862e-07,2.942468412112,-4.563480615616e-07,0.7048880293015001,355.375,-1.571722365642,-2.2986671772860003e-09,-1.142904749427e-11,7206.0
J03,2025-03-23 04:00:00,245.34375000000003,1.186477992999e-09,2.124060222011,7.012858986855e-06,0.07435396511573,-6.757676601409999e-06,6493.353786469,14400.0,-4.6007335186e-07,2.942468821729,1.1771917343139998e-06,0.7048936527586,356.15625,-1.571706686086,-1.415773258353e-09,-4.228747572882e-10,10806.0
J03,2025-03-23 05:00:00,286.0,7.378878788491e-10,2.386557259838,8.281320333481e-06,0.07435179420281,-6.362795829772999e-06,6493.35997963,18000.0,-2.937391400337e-06,2.942471871913,9.704381227493e-07,0.7048958208032001,345.15625,-1.571685050991,-9.193240078207e-10,-1.043972057055e-09,14406.000000000002
J03,2025-03-23 06:00:00,325.0,1.133261490604e-09,2.649051576637,9.628012776375e-06,0.07434776972514,-5.7760626077649995e-06,6493.370645523,21600.0,-2.350658178329e-06,2.942461675374,-1.084059476852e-06,0.7048919616253001,322.78125,-1.571650972314,-1.4650610256720001e-09,-9.771835607605e-10,18006.0
J03,2025-03-23 07:00:00,348.71875,1.5964950718560001e-09,2.911558610583,1.0592862963680002e-05,0.07434354675934,-4.598870873451e-06,6493.381029129,25200.0,-7.450580596924e-09,2.942442320968,-6.724148988723999e-07,0.7048885954508001,289.375,-1.571624241875,-2.0532998138930004e-09,-2.91440711104e-10,21606.0
J03,2025-03-23 08:00:00,354.0,1.6793556661900001e-09,-3.109106613422,1.083314418793e-05,0.07434079330415,-3.2950192689899996e-06,6493.387210846,28800.0,4.0605664253229993e-07,2.942430907281,-8.940696716309e-08,0.7048880614857,259.28125,-1.571618030325,-2.135803250493e-09,-5.535944880038999e-11,25206.0
J03,2025-03-23 09:00:00,351.0625,1.7315006953830003e-09,-2.846581799169,1.0667368769650002e-05,0.07433941960335,-2.6021152734759998e-06,6493.390302658,32400.000000000004,6.183981895447e-07,2.942424281725,-1.974403858185e-07,0.7048878157154,244.56250000000003,-1.571620809869,-2.180447967267e-09,-1.1929068322150002e-10,28806.0
J03,2025-03-23 10:00:00,351.0,1.469704076217e-09,-2.584060608565,1.066364347935e-05,0.07433968922123001,-2.427026629448e-06,6493.38926506,36000.0,-6.891787052155e-07,2.942408897678,3.1478703022e-07,0.7048896311968,241.34375,-1.571613179289,-1.8525771672750001e-09,3.4430005576500003e-10,32406.0
J03,2025-03-23 11:00:00,353.8125,5.378795476993e-10,-2.321549152218,1.094676554203e-05,0.07434105954599,-2.020969986916e-06,6493.384607315,39600.0,-2.987682819366e-06,2.942387936988,-1.618638634682e-06,0.7048967219607001,234.15625000000003,-1.571590531854,-7.150297838606e-10,1.033971640498e-09,36006.0
J03,2025-03-23 12:00:00,357.375,-3.696582548929e-10,-2.059043812331,1.1270865798e-05,0.07434233627282001,-1.421198248863e-06,6493.380121231,43200.0,-1.6223639249799999e-06,2.942376732498,-4.669651389122e-06,0.7049050371871001,225.4375,-1.571568552973,3.896590880079e-10,1.1189751812360002e-09,39606.0
J03,2025-03-23 13:00:00,365.4375,-3.182275411687e-10,-1.796533760385,1.1792406439780001e-05,0.07434271927923,-1.218169927597e-06,6493.378709793,46800.0,1.8067657947539997e-06,2.942379067316,-3.7588179111479997e-06,0.7049055755409,224.3125,-1.571562565249,2.810831368123e-10,5.668093241692e-10,43206.0
J03,2025-03-23 14:00:00,386.1875,4.6180495031550005e-10,-1.5340342868,1.274608075619e-05,0.07434288994409,-9.275972843170001e-07,6493.375541687,50400.0,2.4978071451189997e-06,2.942381639126,-6.239861249923999e-07,0.704898698363,214.75,-1.571546966153,-7.196728344051e-10,5.7502395205569997e-11,46806.0
J03,2025-03-23 15:00:00,423.21875,1.808646765969e-09,-1.271469830393,1.4398247003560002e-05,0.07434335630387,-1.635402441025e-06,6493.383134842001,54000.0,-2.1792948245999998e-07,2.942375111585,6.277114152908e-07,0.7048845680373,249.3125,-1.5715901237,-2.6343954474300004e-09,-3.2858511546039994e-11,50406.00000000001
J03,2025-03-23 16:00:00,372.28125,2.4965325620310002e-09,-1.009106697847,1.3187527656560002e-05,0.07433972577564,1.2777745723719999e-06,6493.350522995,57600.0,-4.91738319397e-07,2.942362912311,-9.126961231232e-08,0.704881323285,132.5625,-1.571423734323,-3.113701126721e-09,1.250052069686e-10,54006.0
J03,2025-03-23 17:00:00,370.90625,2.599393989479e-09,-0.7465754482184,1.3250857591630002e-05,0.07433945941739001,1.195818185806e-06,6493.350137711001,61200.0,-8.568167686462001e-08,2.942350446786,-3.2596290111539996e-07,0.7048810116835,135.78125,-1.571423961076,-3.238349175956e-09,2.557249376844e-10,57606.0
J03,2025-03-23 18:00:00,362.375,2.410814705824e-09,-0.4840509499564,1.3049691915510001e-05,0.07433908269741,1.0896474123e-06,6493.348819733,64800.00000000001,-3.6694109439849996e-07,2.942342760615,1.173466444016e-07,0.7048830261217001,137.125,-1.571420091657,-2.940836783371e-09,6.893144269983999e-11,61205.99999999999
J03,2025-03-23 19:00:00,370.9375,2.344026209529e-09,-0.2215141880522,1.3157725334170001e-05,0.07434032985475,1.1753290891649999e-06,6493.3525409700005,68400.0,-4.507601261139e-07,2.942332953212,-3.3527612686160006e-08,0.7048834108691,129.21875,-1.571427359434,-2.9272647894710003e-09,-3.571577341961e-12,64806.0
J03,2025-03-23 20:00:00,373.875,2.2704517162850003e-09,0.04101725175603,1.3159587979320001e-05,0.0743417176418,1.1194497346879998e-06,6493.356451035,72000.0,-3.70666384697e-07,2.942322244652,-5.774199962616e-08,0.7048834825521001,117.68749999999999,-1.571429404594,-2.949765726725e-09,1.428630936784e-12,68406.0
J03,2025-03-23 21:00:00,375.53125,2.279737817374e-09,0.303547481731,1.3319775462150001e-05,0.07434152951464,7.990747690200999e-07,6493.355892181,75600.0,-1.1548399925229999e-07,2.942313802151,-2.607703208923e-07,0.7048830334362001,118.78125,-1.571432486962,-3.024768850907e-09,-1.692927660089e-10,72006.0
J03,2025-03-23 22:00:00,388.46875,2.023298564221e-09,0.5660846269198,1.3651326298710001e-05,0.07434055535123,4.7497451305389997e-07,6493.3531627659995,79200.0,-9.853392839432e-07,2.942297162921,-5.271285772324e-07,0.7048847801604001,127.46875,-1.571436255439,-2.613680298847e-09,2.4000999737980003e-10,75606.0
J03,2025-03-23 23:00:00,413.3125,1.1400474875540002e-09,0.8286251763189001,1.413002610207e-05,0.07433988398407,-3.911554813385e-08,6493.351078033,82800.0,-9.313225746155e-07,2.942276929301,-3.008171916008e-06,0.7048929681129,134.03125,-1.5714407978,-1.258981013041e-09,7.786038605475001e-10,79206.0
J04,2025-03-23 00:00:00,-301.75,3.0544129428450003e-09,-0.6891632501413001,-1.0959804058070001e-05,0.07524150016252,9.797513484954998e-06,6493.187976837001,0.0,3.036111593246e-07,-1.646682223656,-5.364418029785e-07,0.6369371434686001,-166.875,-1.57094794655,-3.595506910152e-09,9.353961058595e-10,-3594.0
J04,2025-03-23 01:00:00,-278.78125,2.7997594783630005e-09,-0.4265890565522,-1.015514135361e-05,0.07524360134266,9.812414646148998e-06,6493.195568085001,3600.0,3.5203993320469995e-07,-1.646691737012,2.384185791016e-07,0.6369409894803,-166.75,-1.570973404251,-3.296208728896e-09,8.896799158824001e-10,6.0
J04,2025-03-23 02:00:00,-300.96875,2.701898259193e-09,-0.1640537151414,-1.058541238308e-05,0.07524005009327,9.125098586082e-06,6493.185594559,7200.0,-4.302710294724e-07,-1.646697098607,1.7136335372919998e-07,0.6369442415472001,-136.5625,-1.570962692765,-2.991196023892e-09,5.250218692682e-10,3606.0
J04,2025-03-23 03:00:00,-306.25,2.8811914417600003e-09,0.09849534551506,-1.0712072253230002e-05,0.07523272058461,7.450580596924e-06,6493.1653099059995,10800.0,-4.768371582031e-07,-1.646705665455,-1.117587089539e-07,0.6369458712379,-70.9375,-1.570960678327,-2.977981187727e-09,3.6644383528520004e-10,7206.0
J04,2025-03-23 04:00:00,-284.25,3.019054327159e-09,0.3610668575753,-1.0142102837560001e-05,0.07522792904638,6.4373016357419995e-06,6493.151687622,14400.0,-3.967434167862e-07,-1.646715510894,-2.235174179077e-07,0.6369469274647,-32.5625,-1.570977484329,-3.0004821249810003e-09,2.971552348511e-10,10806.0
J04,2025-03-23 05:00:00,-296.625,2.581536102769e-09,0.6236080272517001,-1.05407088995e-05,0.07522947993129,6.319954991340999e-06,6493.157369614,18000.0,-1.147389411926e-06,-1.64673264459,-9.257346391677999e-07,0.6369504940590001,-30.96875,-1.570957433574,-2.449387741117e-09,6.628847546679001e-10,14406.000000000002
J04,2025-03-23 06:00:00,-356.15625,1.40612999953e-09,0.886077857728,-1.2105330824850001e-05,0.07523484737612,5.263835191727e-06,6493.180076599,21600.0,-3.1664967536929996e-07,-1.646750885716,-3.1441450119019995e-06,0.6369594383402001,-2.34375,-1.570867395355,-1.1132606574890002e-09,1.0082562836360001e-09,18006.0
J04,2025-03-23 07:00:00,-409.5,3.49657421778e-10,1.148498974495,-1.340359449387e-05,0.07523910154123,2.946704626083e-06,6493.206981659,25200.0,2.734363079071e-06,-1.646758786936,-3.073364496231e-06,0.6369685757265,76.25,-1.570740169759,-2.9286934204079995e-11,8.389635176266e-10,21606.0
J04,2025-03-23 08:00:00,-419.78125000000006,-6.357407668689999e-11,1.41092605119,-1.3699755072590003e-05,0.07524026918691,5.755573511124e-07,6493.228206635,28800.0,4.099681973456999e-06,-1.646758925913,-1.639127731323e-07,0.6369725665670001,162.65625,-1.570628023922,2.56796410887e-10,3.882304570711e-10,25206.0
J04,2025-03-23 09:00:00,-410.71875,2.835832409517e-10,1.673408132143,-1.36848539114e-05,0.07523960282560001,-7.282942533493e-07,6493.238229752001,32400.000000000004,2.4084001779559997e-06,-1.646759834386,2.121552824974e-06,0.6369700869209001,205.43749999999997,-1.570572182876,-2.7179703572320004e-10,1.1786205228469998e-11,28806.0
J04,2025-03-23 10:00:00,-437.09375,1.249694911952e-09,1.935961841953,-1.4556571841240002e-05,0.07523989409674,-1.0449439287190002e-06,6493.235910416,36000.0,2.533197402954e-07,-1.646768522656,1.4677643775939999e-06,0.6369634657536001,202.99999999999997,-1.570582225808,-1.3686284374390002e-09,-2.321525272275e-11,32406.0
J04,2025-03-23 11:00:00,-520.53125,2.436530062686e-09,2.198567419524,-1.6687437891960002e-05,0.07524323696271,-1.342967152596e-06,6493.223735809,39600.0,7.078051567078e-07,-1.64678641707,-5.699694156647e-07,0.6369569791749,200.56250000000003,-1.570635821275,-2.569035582072e-09,3.982308736286e-10,36006.0
J04,2025-03-23 12:00:00,-623.3125,3.1183441772660004e-09,2.461185532839,-1.923367381096e-05,0.07524958171416,-2.2277235984799997e-06,6493.206071854,43200.0,2.68965959549e-06,-1.646805148273,-4.2654573917389996e-07,0.6369552324507,232.93750000000003,-1.570699483081,-3.1101295493790005e-09,9.557540967087e-10,39606.0
J04,2025-03-23 13:00:00,-687.34375,2.9276219472050002e-09,2.723778916988,-2.100318670273e-05,0.07525611366145,-3.4254044294359998e-06,6493.189733505,46800.0,2.0582228899e-06,-1.646811557317,9.536743164062e-07,0.6369583616325001,282.21875,-1.570745945359,-2.7158274108270002e-09,9.164667459472e-10,43206.0
